index,Date,Price,Open,High,Low,Vol.,Change %,Normalized Price,Investment Value
0,2023-03-01,94.88,95.21,96.76,91.16,6.55K,-0.23,0.0,10100.0
1,2023-04-01,95.38,95.79,96.55,93.75,14.51K,0.52,0.011366219595362548,10253.225126475549
2,2023-05-01,97.58,95.98,99.0,93.95,8.91K,2.32,0.06137758581495767,10589.722246188761
3,2023-06-01,100.98,98.04,102.02,97.94,10.30K,3.48,0.13866787906342326,11058.702115393944
4,2023-07-01,103.81,101.52,103.8,98.9,14.93K,2.8,0.20300068197317556,11468.626129917264
5,2023-08-01,102.69,103.97,104.04,98.74,16.47K,-1.08,0.17754035007956315,11444.89179540703
6,2023-09-01,101.23,102.63,104.74,100.5,13.49K,-1.43,0.14435098886110476,11382.173497410204
7,2023-10-01,97.56,101.11,102.53,96.82,20.21K,-3.62,0.06092293703114349,11069.523327149454
8,2023-11-01,103.13,97.98,103.5,97.9,14.61K,5.72,0.18754262332348226,11801.51640763554
9,2023-12-01,106.94,103.58,107.79,103.39,26.18K,3.69,0.27415321664014547,12337.507656671625
10,2024-01-01,110.2,107.44,110.99,106.0,42.12K,3.04,0.34826096840190957,12813.608974800945
11,2024-02-01,114.29,110.21,114.85,109.67,48.40K,3.71,0.4412366446919753,13389.177583756808
12,2024-03-01,118.34,114.94,118.39,114.0,28.33K,3.54,0.5333030234144123,13963.638772086626
13,2024-04-01,116.6,119.0,119.09,113.86,57.39K,-1.47,0.49374857922255044,13858.325847771677
14,2024-05-01,117.53,115.76,120.53,115.5,66.84K,0.8,0.5148897476699248,14068.859664567799
15,2024-06-01,123.1,119.4,123.75,117.82,32.74K,4.74,0.641509433962264,14835.613245199489
16,2024-07-01,123.48,122.72,125.26,120.23,49.70K,0.31,0.6501477608547397,14981.409614274842
17,2024-08-01,123.05,123.65,124.9,111.84,57.92K,-0.35,0.6403728120027274,15029.23917263135
18,2024-09-01,125.21,123.53,126.31,118.8,36.27K,1.75,0.6894748806546938,15393.060030923783
19,2024-10-01,126.21,125.88,130.18,124.96,43.35K,0.8,0.7122073198454189,15615.997975424412
20,2024-11-01,134.54,126.24,135.69,126.2,89.67K,6.6,0.9015685383041596,16746.67116404089
21,2024-12-01,134.7,135.0,136.97,131.4,76.97K,0.11,0.9052057285746757,16866.58693174006
22,2025-01-01,138.87,134.3,139.28,132.96,109.06K,3.1,1.0,17488.737395773886
23,2025-02-01,135.49,137.36,140.18,135.16,89.46K,-2.43,0.923164355535349,17163.07359223305
